,node_connectivity,degree_assortativity_coefficient,density,is_bipartite,spectral_bipartivity,global_reaching_centrality,transitivity,average_clustering,is_strongly_connected,is_weakly_connected,is_attracting_component,is_semiconnected,edge_connectivity,is_directed_acyclic_graph,is_aperiodic,diameter,radius,is_distance_regular,is_strongly_regular,is_eulerian,number_of_isolates,overall_reciprocity,is_regular,negative_edge_cycle,s_metric,is_threshold_graph,is_tournament,is_arborescence,is_branching,is_triad,wiener_index,trophic_incoherence_parameter
2017-12-22,0.0,-0.3333333333333333,0.19047619047619047,0.0,1.0,0.30555555555555564,0.16666666666666666,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
2017-12-26,0.0,-0.3333333333333333,0.19047619047619047,0.0,1.0,0.30555555555555564,0.16666666666666666,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
2017-12-27,0.0,0.0,0.2,0.0,1.0,0.375,0.5,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,inf,0.35553964760536044
2017-12-28,0.0,0.0,0.2,0.0,1.0,0.375,0.5,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,inf,0.3555278267185309
2017-12-29,0.0,0.0,0.14285714285714285,0.0,1.0,0.3888888888888889,0.16666666666666666,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,inf,0.29063495328687533
2018-01-02,0.0,-0.4166666666666664,0.125,0.0,1.0,0.3061224489795918,0.16666666666666666,0.14583333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,inf,0.2692809468828552
2018-01-03,0.0,0.0,0.14285714285714285,0.0,1.0,0.42857142857142855,0.125,0.10416666666666666,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,inf,0.2519668381083591
2018-01-04,0.0,0.0,0.14285714285714285,0.0,1.0,0.42857142857142855,0.125,0.10416666666666666,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,inf,0.25194248067287095
2018-01-05,0.0,-0.5163977794943205,0.1527777777777778,0.0,1.0000000000000002,0.578125,0.14285714285714285,0.20987654320987656,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,inf,0.8629815106062845
2018-01-08,0.0,-0.3572172541558819,0.1388888888888889,0.0,1.0,0.625,0.14285714285714285,0.21296296296296297,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,inf,0.320246504967296
